bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1994506,3158285,text,43519,text/html,Introduced,https://legiscan.com/IA/text/HF839/id/3158285,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF839.html
1994532,3158308,text,18068,text/html,Introduced,https://legiscan.com/IA/text/HF840/id/3158308,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF840.html
1994634,3158398,text,21053,text/html,Introduced,https://legiscan.com/IA/text/HF841/id/3158398,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF841.html
1994567,3158340,text,75960,text/html,Introduced,https://legiscan.com/IA/text/HF842/id/3158340,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF842.html
1994689,3158442,text,239416,text/html,Introduced,https://legiscan.com/IA/text/HF843/id/3158442,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF843.html
1994758,3158497,text,39474,text/html,Introduced,https://legiscan.com/IA/text/HF844/id/3158497,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF844.html
1994758,3209444,text,31750,text/html,Enrolled,https://legiscan.com/IA/text/HF844/id/3209444,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF844.html
1994729,3158473,text,82876,text/html,Introduced,https://legiscan.com/IA/text/HF845/id/3158473,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF845.html
1994714,3158461,text,17467,text/html,Introduced,https://legiscan.com/IA/text/HF846/id/3158461,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF846.html
1994540,3158316,text,44950,text/html,Introduced,https://legiscan.com/IA/text/HF847/id/3158316,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF847.html
1994462,3158251,text,55426,text/html,Introduced,https://legiscan.com/IA/text/HF848/id/3158251,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF848.html
1994462,3182049,text,52219,text/html,Amended,https://legiscan.com/IA/text/HF848/id/3182049,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF848.html
1994592,3158362,text,32888,text/html,Introduced,https://legiscan.com/IA/text/HF849/id/3158362,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF849.html
1994616,3158383,text,52693,text/html,Introduced,https://legiscan.com/IA/text/HF850/id/3158383,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF850.html
1994748,3158489,text,168615,text/html,Introduced,https://legiscan.com/IA/text/HF851/id/3158489,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF851.html
1994748,3182088,text,145566,text/html,Amended,https://legiscan.com/IA/text/HF851/id/3182088,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF851.html
1994608,3158376,text,202271,text/html,Introduced,https://legiscan.com/IA/text/HF852/id/3158376,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF852.html
1994445,3158237,text,38597,text/html,Introduced,https://legiscan.com/IA/text/HF853/id/3158237,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF853.html
1994459,3158248,text,80194,text/html,Introduced,https://legiscan.com/IA/text/HF854/id/3158248,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF854.html
1994519,3158296,text,18135,text/html,Introduced,https://legiscan.com/IA/text/HF855/id/3158296,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF855.html
1994737,3158480,text,103163,text/html,Introduced,https://legiscan.com/IA/text/HF856/id/3158480,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF856.html
1994737,3180517,text,183173,text/html,Amended,https://legiscan.com/IA/text/HF856/id/3180517,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF856.html
1994737,3237121,text,110068,text/html,Enrolled,https://legiscan.com/IA/text/HF856/id/3237121,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF856.html
1994553,3158327,text,50802,text/html,Introduced,https://legiscan.com/IA/text/HF857/id/3158327,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF857.html
1994553,3208314,text,34405,text/html,Enrolled,https://legiscan.com/IA/text/HF857/id/3208314,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF857.html
1994581,3158353,text,17630,text/html,Introduced,https://legiscan.com/IA/text/HF858/id/3158353,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF858.html
1994685,3158439,text,64196,text/html,Introduced,https://legiscan.com/IA/text/HF859/id/3158439,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF859.html
1994670,3158428,text,46833,text/html,Introduced,https://legiscan.com/IA/text/HF860/id/3158428,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF860.html
1994670,3206842,text,38485,text/html,Enrolled,https://legiscan.com/IA/text/HF860/id/3206842,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF860.html
1994720,3158465,text,32357,text/html,Introduced,https://legiscan.com/IA/text/HF861/id/3158465,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF861.html
1994751,3158492,text,44245,text/html,Introduced,https://legiscan.com/IA/text/HF862/id/3158492,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF862.html
1994751,3190871,text,30729,text/html,Amended,https://legiscan.com/IA/text/HF862/id/3190871,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF862.html
1994751,3223015,text,20407,text/html,Enrolled,https://legiscan.com/IA/text/HF862/id/3223015,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF862.html
1994723,3158468,text,15412,text/html,Introduced,https://legiscan.com/IA/text/HF863/id/3158468,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF863.html
